anio,mes,multilateral,usd,real,peso_chileno,euro,libra_esterlina,guarani,nuevo_shekel,peso_mexicano,peso_uruguayo
2011,Marzo,265.0277484,189.0167881,365.7523034,259.7003026,288.8028501,205.7680313,323.869308,208.8510551,171.6129215,244.5785338
2011,Abril,276.884206,190.1386129,383.3366982,272.9260109,305.4300121,215.9459894,343.9793517,217.3738995,177.3871743,250.6706583
2011,Mayo,271.536626,190.1140637,379.2014118,269.8654064,292.5809255,212.7950499,334.7066089,213.4025624,174.2041017,252.3575621
2011,Junio,273.2782058,189.531477,386.8760238,268.1053706,294.1887106,206.336485,337.1102113,216.0275212,171.1184802,260.8658098
2011,Julio,275.1755119,189.5537233,391.0174209,275.4751166,292.1718837,211.3718449,351.0111,214.4668299,172.5575978,258.3761473
2011,Agosto,273.5962727,190.8173399,383.6917062,271.5188761,295.3988575,212.5040449,348.218877,207.8398983,163.3433509,257.9304751
2011,Septiembre,254.4665129,190.7614168,334.9457779,247.3501083,279.3295403,204.0791339,332.7209221,198.5048179,150.6415284,241.31917
2011,Octubre,264.8205276,190.298747,363.2851855,260.5552281,291.4462629,210.6705554,321.4557359,205.9357244,157.628922,247.9579593
2011,Noviembre,250.5302259,190.2231496,331.3460942,244.5171696,275.1953628,203.7135975,303.1802835,195.5385582,148.3522114,241.7196269
2011,Diciembre,250.0903988,189.8837688,333.193429,247.8633114,268.3264304,203.3213561,306.3400696,194.0477755,149.6358494,246.9465951
2012,Enero,257.1843515,190.2886149,356.8742484,262.7886664,269.5406454,205.014148,290.6230184,196.6005073,162.1539761,254.1957886
2012,Febrero,262.9477793,190.560528,365.8193238,269.8950181,275.9037035,207.6047303,315.6784085,194.353873,163.3874582,255.167309
2012,Marzo,259.2890484,191.1652813,341.1522663,264.2851037,276.3786152,209.1915656,323.9564313,197.9517291,163.7063372,256.3383589
2012,Abril,257.7662424,192.0332694,332.4034085,266.0435525,276.0886344,214.2895804,320.5203687,198.3910778,161.0480555,253.8022453
2012,Mayo,246.3264915,192.5234563,316.3996178,249.4856501,260.0301687,205.8872291,306.4252379,192.535469,149.5280802,251.0144076
2012,Junio,246.7263434,193.0378531,306.5311388,258.7251098,263.7409114,206.4102444,306.1930879,189.6209763,156.5876307,240.3060097
2012,Julio,247.4738783,192.5583736,315.4416531,267.763685,255.611637,207.7959523,313.4272196,184.7906693,159.9165547,237.8293993
2012,Agosto,248.0242328,192.4211548,311.1655526,267.8516269,260.4679333,209.0225822,311.7370786,186.0199652,158.3057884,238.4547994
2012,Septiembre,252.1760086,192.2575356,315.1575905,272.3004816,267.6413214,213.1083811,307.6256558,190.4770524,164.0551482,243.798785
2012,Octubre,255.3048623,192.7503983,317.5431926,270.674465,270.8045424,213.4809914,308.3675231,191.6829224,162.8250812,265.2397989
2012,Noviembre,253.4720079,190.8172241,307.9415075,268.5319932,269.52264,212.2616135,312.7848393,193.0827479,164.4768326,267.678354
2012,Diciembre,257.3673868,189.6468245,316.4677438,267.9830122,274.6972031,213.2652615,326.2243453,197.9909037,163.5936845,274.9103012
2013,Enero,259.5653462,188.4119362,325.7878319,270.1344411,276.5262998,206.1857455,336.9182779,186.2573004,166.4823229,271.48833
2013,Febrero,259.9213854,190.3790153,329.3334658,270.329236,271.3666357,199.5400699,350.3204343,186.8497648,166.1829889,276.2879048
2013,Marzo,257.7039695,190.2329022,323.288348,271.2585647,264.7227667,200.3304987,339.1983309,190.5397277,173.7727405,279.5091616
2013,Abril,258.6315605,189.0404978,326.9277378,268.8048951,268.8361806,203.9363217,327.6302965,192.8890917,175.6151676,280.0481
2013,Mayo,253.0177105,190.3350707,313.23265,258.0584053,268.6473031,200.7579733,324.4641161,189.4178363,168.1330325,267.3622419
2013,Junio,247.4343176,190.2141402,295.986061,251.8106802,268.2522839,200.4123073,304.2153013,193.2406671,164.3700499,261.7289896
2013,Julio,247.1791922,190.3453883,290.2074115,249.2092378,272.2025263,201.6627211,311.4078415,196.953288,166.7361245,253.6136593
2013,Agosto,234.3583591,110.1905401,281.8796015,254.367135,274.4960594,207.154074,314.5585256,197.1699791,161.4780351,248.0340261
2013,Septiembre,252.5872887,191.7852588,295.1007962,257.6086667,280.5951382,215.3928655,316.4004644,199.2548164,163.7583391,258.1915038
2013,Octubre,256.3696367,191.6551015,306.8543414,256.3837804,285.6225877,214.7666011,319.563919,202.6190366,167.9568811,260.6496602
2013,Noviembre,256.2593645,194.2192711,294.7010948,250.079905,286.7987372,222.2986097,328.7803255,204.2554427,169.7333239,270.2792761
2013,Diciembre,266.2961926,201.3601388,303.1051156,263.7077428,301.8943997,233.3836056,326.4812619,214.7046909,177.3022416,276.7985833
2014,Enero,305.7923966,237.6279771,348.6415683,296.8710735,347.0862796,225.0997249,382.1067188,250.4267625,205.3517978,325.3858091
2014,Febrero,293.3549404,224.9331395,342.7376073,274.0517786,329.8932243,261.1336555,383.9825216,234.0986834,194.9161358,301.7714124
2014,Marzo,290.2877164,220.0273541,347.7976832,274.6264638,325.28805,254.1863628,374.5148187,229.2324017,193.6204275,291.6232266
2014,Abril,285.4696035,215.751686,348.618879,264.8049804,320.57338,251.9286353,368.94093,226.0046867,188.3458298,283.3586777
2014,Mayo,280.807377,213.1953012,344.1572192,266.6942367,310.2239413,246.7496596,363.0575134,222.6485815,188.6804086,278.3709917
2014,Junio,278.7333483,210.2631263,344.2633697,261.9774109,306.312736,247.6317875,364.2052379,222.6056534,184.3640816,282.0124506
2014,Julio,270.0867479,206.9555216,334.0312578,249.7176065,294.145029,241.4714418,363.0049239,219.5429567,180.2595448,272.8810422
2014,Agosto,266.2307126,206.746225,330.7158465,243.9349457,288.9647824,237.8099602,361.2002709,210.5224849,181.1564375,263.5773309
2014,Septiembre,254.2489257,203.8258719,304.6432862,236.3589669,276.173728,229.4094441,340.3107092,200.6873369,173.9287216,254.9098457
2014,Octubre,251.7356744,200.8951223,298.6464874,246.1780352,271.0075068,223.2767962,325.514894,194.4987639,172.986041,256.0591004
2014,Noviembre,242.4625908,195.6749657,281.9784848,228.9991105,261.5467586,213.7845034,320.2255426,183.9238576,165.1408213,260.242972
2014,Diciembre,235.927881,193.2228414,269.6730756,227.0409288,253.4367948,210.8612854,321.5002455,182.0777128,155.4866197,251.386532
2015,Enero,227.3738947,190.6321267,276.0367596,215.5688796,230.1963784,200.6353262,308.3391601,174.113185,153.0512899,253.0587162
2015,Febrero,224.093482,190.7274581,253.7452149,220.7570837,228.6171973,205.185055,312.4333768,170.5320436,151.4715191,249.2983111
2015,Marzo,216.4078643,190.7114085,227.7664844,217.7366875,222.4337749,196.4351325,307.1056536,170.3097583,148.6375186,242.1251569
2015,Abril,218.841669,188.55184,250.1835267,223.0640316,223.6429899,200.9574983,289.5310584,173.6450751,146.1809152,234.2342544
2015,Mayo,213.4743663,187.4163477,231.0639153,217.1253165,220.9138182,197.4818321,290.8431902,171.3048374,142.6132909,231.0563023
2015,Junio,213.4859154,188.47384,235.1565059,212.599539,223.5320456,203.5205733,279.4631303,175.7096889,140.6141082,227.3217588
2015,Julio,204.4637937,185.525471,219.6656888,199.4751022,215.7377826,198.8692775,276.0194636,174.1225617,132.8670708,214.7792063
2015,Agosto,201.0155048,184.1558329,204.3547264,193.0415831,218.9254371,194.9426353,266.1401602,166.1098135,129.025931,216.548482
2015,Septiembre,195.694768,183.2363075,178.8633274,190.1509403,219.9444067,192.3606054,255.2440076,164.9380212,126.6144624,214.0538938
